id,num,reference,site,longitude,latitude,MAT,MAP,SPH,SSOC,STN,SCN,sand,silt,clay,siltclay,texture,alltreatment,treatment,treatment1,treatment2,materialtype,dose,MorganicC,MorganicN,MorganicCN,MorganicPH,Mwater,Cinput,totelCinput,Ninput,orangicN,Ninput1,tillagemethod,returndepth,duration,Cinput1,experientmenttype,croptype,depth,SOC_treat,SOC_treat_SD,SOC_treat_n,SOC_con,SOC_con_SD,SOC_con_n,SOCyi,SOCvi,DSOC,Z_SOC,POC_treat,POC_treat_SD,POC_treat_n,POC_con,POC_con_SD,POC_con_n,POCyi,POCvi,DPOC,MOC_treat,MOC_treat_SD,MOC_treat_n,MOC_con,MOC_con_SD,MOC_con_n,MOCyi,MOCvi,DMOC,POCSOC_treat,POCSOC_treat_SD,POCSOC_treat_n,POCSOC_con,POCSOC_con_SD,POCSOC_con_n,POCSOCyi,POCSOCvi,MOCSOC_treat,MOCSOC_treat_SD,MOCSOC_treat_n,MOCSOC_con,MOCSOC_con_SD,MOCSOC_con_n,MOCSOCyi,MOCSOCvi,MOCPOC_treat,MOCPOC_treat_SD,MOCPOC_treat_n,MOCPOC_con,MOCPOC_con_SD,MOCPOC_con_n,MOCPOCyi,MOCPOCvi,DOC_treat,DOC_treat_SD,DOC_treat_n,DOC_con,DOC_con_SD,DOC_con_n,DOCyi,DOCvi,EOC_treat,EOC_treat_SD,EOC_treat_n,EOC_con,EOC_con_SD,EOC_con_n,EOCyi,EOCvi,MBC_treat,MBC_treat_SD,MBC_treat_n,MBC_con,MBC_con_SD,MBC_con_n,MBCyi,MBCvi,MBN_treat,MBN_treat_SD,MBN_treat_n,MBN_con,MBN_con_SD,MBN_con_n,MBNyi,MBNvi,MBCN_treat,MBCN_treat_SD,MBCN_treat_n,MBCN_con,MBCN_con_SD,MBCN_con_n,MBCNyi,MBCNvi,TN_treat,TN_treat_SD,TN_treat_n,TN_con,TN_con_SD,TN_con_n,TNyi,TNvi,TCN_treat,TCN_treat_SD,TCN_treat_n,TCN_con,TCN_con_SD,TCN_con_n,TCNyi,TCNvi,imblance_treat,imblance_treat_SD,imblance_treat_n,imblance_con,imblance_con_SD,imblance_con_n,imblanceyi,imblancevi,AN_treat,AN_treat_SD,AN_treat_n,AN_con,AN_con_SD,AN_con_n,ANyi,ANvi,TP_treat,TP_treat_SD,TP_treat_n,TP_con,TP_con_SD,TP_con_n,AP_treat,AP_treat_SD,AP_treat_n,AP_con,AP_con_SD,AP_con_n,APyi,APvi,AK_treat,AK_treat_SD,AK_treat_n,AK_con,AK_con_SD,AK_con_n,AKyi,AKvi,pH_treat,pH_treat_SD,pH_treat_n,pH_con,pH_con_SD,pH_con_n,pHyi,pHvi,BD_treat,BD_treat_SD,BD_treat_n,BD_con,BD_con_SD,BD_con_n,BDyi,BDvi,yield_treat,yield_treat_SD,yield_treat_n,yield_con,yield_con_SD,yield_con_n,yieldyi,yieldvi,Dyield
1,1,"Chen et al., 2023","Mengcheng Experimental Station, Anhui, China",116.92,33.27,16,1043.7,6.5,7.9,0.76,10.39473684,32,26,41,67,clay loam,IF-NF,NPK-CK,F,N,,,,,,,,,,540,,,,,10,,field,wheat maize,0-20,12.6,0.3,3,9.5,0.2,3,0.282405015,0.000336702,3.1,,1.5,0.15,3,1.2,0.12,3,0.223143551,0.006666667,0.3,6.8,0.5,3,6.1,0.3,3,0.108633841,0.002608426,0.7,0.119047619,0.011904762,3,0.126315789,0.012631579,3,-0.059261464,0.006666667,0.53968254,0.053968254,3,0.642105263,0.064210526,3,-0.173771174,0.006666667,4.533333333,0.453333333,3,5.083333333,0.508333333,3,-0.11450971,0.006666667,100.1,12.8,3,57.9,4.5,3,0.547452302,0.007463904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.09,3,0.7,0.02,3,0.356674944,0.002972109,12.6,1.26,3,13.57142857,1.357142857,3,-0.074269929,0.006666667,,,,,,,,,77.7,8,3,46.1,2.9,3,0.522042307,0.00485268,,,,,,,35.1,5.6,3,9.6,2.3,3,1.296438032,0.027618171,128,0.9,3,97.7,0.3,3,0.270128705,1.96E-05,5.4,0.1,3,6.2,0.1,3,-0.138150338,0.000201027,,,,,,,,,,,,,,,,,
2,1,"Chen et al., 2023","Mengcheng Experimental Station, Anhui, China",116.92,33.27,16,1043.7,6.5,7.9,0.76,10.39473684,32,26,41,67,clay loam,COM-NF,NPKS-CK,WF,NS,wheat,7.5,,,,,,,,540,,,,cover,10,,field,wheat maize,0-20,14.8,0.4,3,9.5,0.2,3,0.443335382,0.000391224,5.3,,2,0.2,3,1.2,0.12,3,0.510825624,0.006666667,0.8,8.5,0.3,3,6.1,0.3,3,0.331777392,0.00122146,2.4,0.135135135,0.013513514,3,0.126315789,0.012631579,3,0.067490242,0.006666667,0.574324324,0.057432432,3,0.642105263,0.064210526,3,-0.11155799,0.006666667,4.25,0.425,3,5.083333333,0.508333333,3,-0.179048231,0.006666667,147.3,9.9,3,57.9,4.5,3,0.933753939,0.003519195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.03,3,0.7,0.02,3,0.356674944,0.000572109,14.8,1.48,3,13.57142857,1.357142857,3,0.086660438,0.006666667,,,,,,,,,83.8,4.6,3,46.1,2.9,3,0.597620057,0.002323485,,,,,,,55.8,3.1,3,9.6,2.3,3,1.760010771,0.020162198,159.5,1.6,3,97.7,0.3,3,0.490142363,3.67E-05,5.2,0.1,3,6.2,0.1,3,-0.175890666,0.000209989,,,,,,,,,,,,,,,,,
3,1,"Chen et al., 2023","Mengcheng Experimental Station, Anhui, China",116.92,33.27,16,1043.7,6.5,7.9,0.76,10.39473684,32,26,41,67,clay loam,COM-NF,NPKS-CK,MF,NS,maize,7.5,,,,,,,,540,,,,,10,,field,wheat maize,0-20,14.4,1.8,3,9.5,0.2,3,0.415936408,0.005356071,4.9,,2.7,0.27,3,1.2,0.12,3,0.810930216,0.006666667,1.5,8,1,3,6.1,0.3,3,0.271152771,0.006014568,1.9,0.1875,0.01875,3,0.126315789,0.012631579,3,0.394993808,0.006666667,0.555555556,0.055555556,3,0.642105263,0.064210526,3,-0.144783637,0.006666667,2.962962963,0.296296296,3,5.083333333,0.508333333,3,-0.539777446,0.006666667,144.6,5.9,3,57.9,4.5,3,0.915253925,0.002568417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,0.1,3,0.7,0.02,3,0.451985124,0.00302693,13.09090909,1.309090909,3,13.57142857,1.357142857,3,-0.036048716,0.006666667,,,,,,,,,80.7,3.9,3,46.1,2.9,3,0.559925625,0.002097589,,,,,,,41.1,2.8,3,9.6,2.3,3,1.454245023,0.020680465,155.5,3,3,97.7,0.3,3,0.464744173,0.000127211,5.1,0.1,3,6.2,0.1,3,-0.195308752,0.000214871,,,,,,,,,,,,,,,,,
4,1,"Chen et al., 2023","Mengcheng Experimental Station, Anhui, China",116.92,33.27,16,1043.7,6.5,7.9,0.76,10.39473684,32,26,41,67,clay loam,COM-NF,NPKS-CK,WMF,NS,wheat maize,15,,,,,,,,540,,,,,10,,field,wheat maize,0-20,14.8,1.7,3,9.5,0.2,3,0.443335382,0.004545717,5.3,,2.2,0.22,3,1.2,0.12,3,0.606135804,0.006666667,1,8.8,0.6,3,6.1,0.3,3,0.36646295,0.002355822,2.7,0.148648649,0.014864865,3,0.126315789,0.012631579,3,0.162800421,0.006666667,0.594594595,0.059459459,3,0.642105263,0.064210526,3,-0.076872432,0.006666667,4,0.4,3,5.083333333,0.508333333,3,-0.239672853,0.006666667,183.7,5.2,3,57.9,4.5,3,1.154586608,0.002280573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.1,3,0.7,0.02,3,0.356674944,0.003605442,14.8,1.48,3,13.57142857,1.357142857,3,0.086660438,0.006666667,,,,,,,,,80.6,12.3,3,46.1,2.9,3,0.5586857,0.009081894,,,,,,,42.3,3.4,3,9.6,2.3,3,1.483023988,0.021286946,153.3,0.7,3,97.7,0.3,3,0.450495227,1.01E-05,5.1,0.2,3,6.2,0.1,3,-0.195308752,0.000599339,,,,,,,,,,,,,,,,,
8,2,"Ren et al., 2023","Fengqiu State Key Agro-Ecological Experimental Station Fengqiu, Henan, China",114.4,35,14,615.1,8.3,7.71,0.83,9.289156627,35.1,53.6,11.3,64.9,sandy loam,IF-NF,N-CK,N150,N,,,,,,,,,,150,,,convention tillage,0-20,5,,field,wheat maize,0-20,7.739894431,0.880314988,3,7.408400818,0.302608277,3,0.043773446,0.00486821,0.331493613,1.074094911,2.560386473,0.38647343,3,2.70531401,0.169082126,3,-0.055059777,0.00889672,-0.144927536,4.210927221,1.12457586,3,5.318191261,1.024167301,3,-0.233450391,0.036136031,-1.10726404,0.330803798,0.03308038,3,0.365168418,0.036516842,3,-0.098833223,0.006666667,0.544054865,0.054405487,3,0.717859548,0.071785955,3,-0.277223837,0.006666667,1.64464516,0.164464516,3,1.965831413,0.196583141,3,-0.178390614,0.006666667,77.81016348,4.416423774,3,80.35736915,5.766062603,3,-0.032211743,0.002790131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.770502764,0.008153814,3,0.748520083,0.002739681,3,0.028945208,4.18E-05,10.045252,1.0045252,3,9.897397529,0.989739753,3,0.014828238,0.006666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.75,0.09,3,8.73,0.02,3,0.002288331,3.70E-05,,,,,,,,,5.690376569,0.543933054,3,1.945606695,0.711297071,3,1.073202573,0.04759806,3.744769874
9,2,"Ren et al., 2023","Fengqiu State Key Agro-Ecological Experimental Station Fengqiu, Henan, China",114.4,35,14,615.1,8.3,7.71,0.83,9.289156627,35.1,53.6,11.3,64.9,sandy loam,IF-NF,N-CK,N250,N,,,,,,,,,,250,,,convention tillage,0-20,5,,field,wheat maize,0-20,8.098210141,0.16505906,3,7.408400818,0.302608277,3,0.089028465,0.000694627,0.689809322,1.144192639,3.09178744,0.144927536,3,2.70531401,0.169082126,3,0.133531393,0.002034505,0.38647343,5.19285368,0.561595457,3,5.318191261,1.024167301,3,-0.023849869,0.016260757,-0.12533758,0.381786517,0.038178652,3,0.365168418,0.036516842,3,0.044502928,0.006666667,0.641234741,0.064123474,3,0.717859548,0.071785955,3,-0.112878334,0.006666667,1.679563612,0.167956361,3,1.965831413,0.196583141,3,-0.157381261,0.006666667,90.7869725,7.502217716,3,80.35736915,5.766062603,3,0.122031999,0.003992475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.775982127,0.002739681,3,0.748520083,0.002739681,3,0.036031453,8.62E-06,10.43607818,1.043607818,3,9.897397529,0.989739753,3,0.052997012,0.006666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.79,0.11,3,8.73,0.02,3,0.006849342,5.40E-05,,,,,,,,,6.087866109,0.251046025,3,1.945606695,0.711297071,3,1.140723774,0.04511919,4.142259414
10,2,"Ren et al., 2023","Fengqiu State Key Agro-Ecological Experimental Station Fengqiu, Henan, China",114.4,35,14,615.1,8.3,7.71,0.83,9.289156627,35.1,53.6,11.3,64.9,sandy loam,OM-NF,S-CK,N0+S,S,wheat maize,14.13,,,,,,,,,,,convention tillage,0-20,5,,field,wheat maize,0-20,10.07376077,1.210089235,3,7.408400818,0.302608277,3,0.307319497,0.005365985,2.665359949,0.320902016,3.429951691,0.38647343,3,2.70531401,0.169082126,3,0.237328186,0.005534048,0.724637681,5.557094384,1.224753595,3,5.318191261,1.024167301,3,0.043942122,0.028553371,0.238903123,0.340483735,0.034048373,3,0.365168418,0.036516842,3,-0.069991311,0.006666667,0.551640496,0.05516405,3,0.717859548,0.071785955,3,-0.263377376,0.006666667,1.620166954,0.162016695,3,1.965831413,0.196583141,3,-0.193386064,0.006666667,99.36003041,7.964769991,3,80.35736915,5.766062603,3,0.212266123,0.003858184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.860194713,0.013731022,3,0.748520083,0.002739681,3,0.13906074,8.94E-05,11.71102381,1.171102381,3,9.897397529,0.989739753,3,0.168258758,0.006666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.76,0.04,3,8.73,0.02,3,0.003430535,8.70E-06,,,,,,,,,2.133891213,0.083682008,3,1.945606695,0.711297071,3,0.09237332,0.04506498,0.188284519
11,2,"Ren et al., 2023","Fengqiu State Key Agro-Ecological Experimental Station Fengqiu, Henan, China",114.4,35,14,615.1,8.3,7.71,0.83,9.289156627,35.1,53.6,11.3,64.9,sandy loam,COM-NF,NS-CK,N150+S,NS,wheat maize,14.13,,,,,,,,150,,,convention tillage,0-20,5,,field,wheat maize,0-20,10.98296109,1.292962638,3,7.408400818,0.302608277,3,0.393730478,0.005175828,3.574560272,1.180446117,4.299516908,0.724637681,3,2.70531401,0.169082126,3,0.463284679,0.010770585,1.594202899,5.433834222,0.783648408,3,5.318191261,1.024167301,3,0.021511746,0.019294908,0.115642961,0.39147156,0.039147156,3,0.365168418,0.036516842,3,0.069554201,0.006666667,0.494751295,0.049475129,3,0.717859548,0.071785955,3,-0.372218732,0.006666667,1.263824364,0.126382436,3,1.965831413,0.196583141,3,-0.441772933,0.006666667,155.2845013,12.45722976,3,80.35736915,5.766062603,3,0.658775126,0.00386146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.961562923,0.054761012,3,0.748520083,0.002739681,3,0.250461971,0.001085566,11.42198896,1.142198896,3,9.897397529,0.989739753,3,0.143268507,0.006666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.69,0.1,3,8.73,0.02,3,-0.004592431,4.59E-05,,,,,,,,,5.920502092,1.673640167,3,1.945606695,0.711297071,3,1.112847404,0.07118939,3.974895397
12,2,"Ren et al., 2023","Fengqiu State Key Agro-Ecological Experimental Station Fengqiu, Henan, China",114.4,35,14,615.1,8.3,7.71,0.83,9.289156627,35.1,53.6,11.3,64.9,sandy loam,COM-NF,NS-CK,N250+S,NS,wheat maize,14.13,,,,,,,,250,,,convention tillage,0-20,5,,field,wheat maize,0-20,10.87360946,0.880658861,3,7.408400818,0.302608277,3,0.383724101,0.002742635,3.465208645,1.232442194,4.106280193,0.458937198,3,2.70531401,0.169082126,3,0.417299566,0.005465866,1.400966184,6.174549316,0.442028484,3,5.318191261,1.024167301,3,0.149302638,0.014070429,0.856358055,0.37763727,0.037763727,3,0.365168418,0.036516842,3,0.033575464,0.006666667,0.567847258,0.056784726,3,0.717859548,0.071785955,3,-0.234421464,0.006666667,1.503684363,0.150368436,3,1.965831413,0.196583141,3,-0.267996928,0.006666667,133.2594095,16.87365353,3,80.35736915,5.766062603,3,0.505813874,0.0070607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.057353924,0.043834902,3,0.748520083,0.002739681,3,0.345426734,0.000577365,10.28379355,1.028379355,3,9.897397529,0.989739753,3,0.038297367,0.006666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.64,0.05,3,8.73,0.02,3,-0.010362787,1.29E-05,,,,,,,,,6.276150628,0.50209205,3,1.945606695,0.711297071,3,1.171182982,0.04668569,4.330543933
17,3,"Geng et al., 2023","Zhejiang Province, China",120.158616,30.273414,15.9,1168.6,6.8,14.59,2.744,5.317055394,29.38,47.37,23.25,70.62,silty clay,IF-NF,NPK-CK,C50F0,N,,,,,,,,,,84.75,,,convention tillage,,8,,field,rice,0-20,13.6416185,1.601896701,3,12.65895954,4.805690102,3,0.074760075,0.052635412,0.98265896,,2.66221374,1.884101069,3,2.404580153,0.892468928,3,0.101782694,0.212874085,0.257633588,11.86681223,1.575737634,3,10.48398836,3.264928378,3,0.123896441,0.038204873,1.382823872,0.195153804,0.01951538,3,0.189950852,0.018995085,3,0.027022619,0.006666667,0.869897676,0.086989768,3,0.828187208,0.082818721,3,0.049136365,0.006666667,4.457497926,0.445749793,3,4.360007856,0.436000786,3,0.022113746,0.006666667,,,,,,,,,,,,,,,,,467.5,25.98076211,3,466.25,47.63139721,3,0.002677378,0.004508269,,,,,,,,,,,,,,,,,0.648809524,0.051549131,3,0.62797619,0.051549131,3,0.032636929,0.004350331,21.02561383,2.102561383,3,20.15834315,2.015834315,3,0.042123146,0.006666667,,,,,,,,,224.3323442,24.67015987,3,211.8694362,21.58638989,3,0.057158414,0.00749145,0.701234568,0.102640048,3,0.62962963,0.282260132,3,30.80412371,13.28500826,3,13.60824742,2.999840574,3,0.816972531,0.078197347,100.4132231,13.95660775,3,100.4132231,9.662266902,3,0,0.009525987,6.449484536,0.342838923,3,6.696907216,0.628538025,3,-0.0376456,0.003878161,,,,,,,,,,,,,,,,,
18,3,"Geng et al., 2023","Zhejiang Province, China",120.158616,31.273414,15.9,1168.6,6.8,14.59,2.744,5.317055394,29.38,47.37,23.25,70.62,silty clay,IF-NF,NPK-CK,C50F50,N,,,,,,,,,,84.75,,,convention tillage,,8,,field,rice,0-20,14.04624277,0.600711263,3,19.01734104,2.402845051,3,-0.302996307,0.005931122,-4.971098266,,6.784351145,1.090795356,3,4.379770992,0.892468928,3,0.43762222,0.022457683,2.404580153,8.446142649,0.453812439,3,15.17103348,0.365571131,3,-0.585678072,0.001155859,-6.72489083,0.483001131,0.048300113,3,0.230304067,0.023030407,3,0.740618527,0.006666667,0.601309744,0.060130974,3,0.797747353,0.079774735,3,-0.282681764,0.006666667,1.244944796,0.12449448,3,3.463887383,0.346388738,3,-1.023300291,0.006666667,,,,,,,,,,,,,,,,,487.5,43.30127019,3,493.75,30.31088913,3,-0.012739026,0.003886058,,,,,,,,,,,,,,,,,0.895833333,0.195886698,3,0.848214286,0.206196525,3,0.054621084,0.035636383,15.67952682,1.567952682,3,22.42044417,2.242044417,3,-0.357617392,0.006666667,,,,,,,,,265.2818991,33.92146982,3,222.5519288,24.67015987,3,0.175632569,0.009546205,0.713580247,0.119746722,3,0.70617284,0.145406734,3,28.57731959,2.571291921,3,17.07216495,2.999840574,3,0.515164025,0.012990556,106.3016529,28.98680071,3,103.5123967,10.73585211,3,0.026589454,0.028371234,6.630927835,0.457118564,3,6.61443299,0.399978743,3,0.002490661,0.002803017,,,,,,,,,,,,,,,,,
19,3,"Geng et al., 2023","Zhejiang Province, China",120.158616,32.273414,15.9,1168.6,6.8,14.59,2.744,5.317055394,29.38,47.37,23.25,70.62,silty clay,IF-NF,NPK-CK,C50F100,N,,,,,,,,,,84.75,,,convention tillage,,8,,field,rice,0-20,23.46820809,1.401659613,3,23.06358382,2.002370876,3,0.017391743,0.003701608,0.404624277,,12.22328244,3.669038924,3,9.103053435,0.991632142,3,0.29473263,0.03398916,3.120229008,12.71834061,2.609421522,3,14.63609898,0.214300318,3,-0.140445916,0.014103034,-1.91775837,0.520844301,0.05208443,3,0.394693796,0.03946938,3,0.277340888,0.006666667,0.541939144,0.054193914,3,0.634597775,0.063459778,3,-0.157837658,0.006666667,1.040501246,0.104050125,3,1.607823033,0.160782303,3,-0.435178546,0.006666667,,,,,,,,,,,,,,,,,580,56.29165125,3,537.5,51.96152423,3,0.076099344,0.006255061,,,,,,,,,,,,,,,,,0.925595238,0.24743583,3,0.976190476,0.051549131,3,-0.053220696,0.0247506,25.35472,2.535472,3,23.62611025,2.362611025,3,0.070612439,0.006666667,,,,,,,,,300,33.92146982,3,294.6587537,9.251309951,3,0.017964555,0.00459031,0.787654321,0.188173421,3,0.767901235,0.239493445,3,39.46391753,10.28516768,3,47.87628866,9.856619029,3,-0.19323359,0.036769711,129.2355372,13.95660775,3,113.1198347,16.10377817,3,0.133188868,0.010643026,7.010309278,0.342838923,3,6.86185567,0.228559282,3,0.021403909,0.001167054,,,,,,,,,,,,,,,,,
20,3,"Geng et al., 2023","Zhejiang Province, China",120.158616,33.273414,15.9,1168.6,6.8,14.59,2.744,5.317055394,29.38,47.37,23.25,70.62,silty clay,IF-NF,NPK-CK,C100F0,N,,,,,,,,,,169.5,,,convention tillage,,8,,field,rice,0-20,12.42774566,1.201422525,3,12.65895954,4.805690102,3,-0.018433702,0.051154229,-0.231213873,,3.435114504,0.099163214,3,2.404580153,0.892468928,3,0.356674944,0.046196145,1.030534351,10.66957787,1.575737634,3,10.48398836,3.264928378,3,0.017547328,0.039597862,0.18558952,0.276406888,0.027640689,3,0.189950852,0.018995085,3,0.375108646,0.006666667,0.858528824,0.085852882,3,0.828187208,0.082818721,3,0.03598103,0.006666667,3.10603267,0.310603267,3,4.360007856,0.436000786,3,-0.339127616,0.006666667,,,,,,,,,,,,,,,,,482.5,34.64101615,3,466.25,47.63139721,3,0.03425895,0.005196953,,,,,,,,,,,,,,,,,0.776785714,0.134027741,3,0.62797619,0.051549131,3,0.212662274,0.012169649,15.99893695,1.599893695,3,20.15834315,2.015834315,3,-0.231095976,0.006666667,,,,,,,,,216.3204748,21.58638989,3,211.8694362,21.58638989,3,0.02079077,0.006779485,0.713580247,0.325026818,3,0.62962963,0.282260132,3,21.64948454,3.856937881,3,13.60824742,2.999840574,3,0.464305608,0.026777939,105.3719008,8.58868169,3,100.4132231,9.662266902,3,0.048202102,0.005300953,6.713402062,0.857097307,3,6.696907216,0.628538025,3,0.002460026,0.008369427,,,,,,,,,,,,,,,,,
21,3,"Geng et al., 2023","Zhejiang Province, China",120.158616,34.273414,15.9,1168.6,6.8,14.59,2.744,5.317055394,29.38,47.37,23.25,70.62,silty clay,IF-NF,NPK-CK,C100F50,N,,,,,,,,,,169.5,,,convention tillage,,8,,field,rice,0-20,17.86127168,3.804504664,3,19.01734104,2.402845051,3,-0.062716474,0.020444886,-1.156069364,,5.782442748,1.884101069,3,4.379770992,0.892468928,3,0.277829776,0.049229518,1.402671756,14.05385735,5.117995836,3,15.17103348,0.365571131,3,-0.076491015,0.044400191,-1.117176128,0.32374194,0.032374194,3,0.230304067,0.023030407,3,0.34054625,0.006666667,0.786834085,0.078683408,3,0.797747353,0.079774735,3,-0.013774541,0.006666667,2.430436057,0.243043606,3,3.463887383,0.346388738,3,-0.354320791,0.006666667,,,,,,,,,,,,,,,,,548.75,30.31088913,3,493.75,30.31088913,3,0.105613648,0.002273223,,,,,,,,,,,,,,,,,0.880952381,0.092788436,3,0.848214286,0.206196525,3,0.037870274,0.023396323,20.27495704,2.027495704,3,22.42044417,2.242044417,3,-0.100586748,0.006666667,,,,,,,,,263.5014837,33.92146982,3,222.5519288,24.67015987,3,0.168898536,0.009620105,0.782716049,0.273706794,3,0.70617284,0.145406734,3,25.8556701,9.428070375,3,17.07216495,2.999840574,3,0.415080567,0.054613285,117.1487603,30.06038592,3,103.5123967,10.73585211,3,0.123753203,0.025533517,6.680412371,1.085656589,3,6.61443299,0.399978743,3,0.00992564,0.010022434,,,,,,,,,,,,,,,,,
22,3,"Geng et al., 2023","Zhejiang Province, China",120.158616,35.273414,15.9,1168.6,6.8,14.59,2.744,5.317055394,29.38,47.37,23.25,70.62,silty clay,IF-NF,NPK-CK,C100F100,N,,,,,,,,,,169.5,,,convention tillage,,8,,field,rice,0-20,21.67630058,1.601896701,3,23.06358382,2.002370876,3,-0.062035391,0.004332991,-1.387283237,,7.557251908,1.685774641,3,9.103053435,0.991632142,3,-0.18610228,0.020541857,-1.545801527,16.29548763,2.508574314,3,14.63609898,0.214300318,3,0.107397227,0.007970932,1.659388646,0.348641221,0.034864122,3,0.394693796,0.03946938,3,-0.124066889,0.006666667,0.751765163,0.075176516,3,0.634597775,0.063459778,3,0.169432618,0.006666667,2.156271595,0.21562716,3,1.607823033,0.160782303,3,0.293499506,0.006666667,,,,,,,,,,,,,,,,,561.25,86.60254038,3,537.5,51.96152423,3,0.043237679,0.011051666,,,,,,,,,,,,,,,,,0.854166667,0.154647394,3,0.976190476,0.051549131,3,-0.133531393,0.011855947,25.37713238,2.537713238,3,23.62611025,2.362611025,3,0.071496002,0.006666667,,,,,,,,,222.5519288,21.58638989,3,294.6587537,9.251309951,3,-0.280657458,0.003464584,0.797530864,0.290813469,3,0.767901235,0.239493445,3,51.58762887,6.428229801,3,47.87628866,9.856619029,3,0.074661529,0.01930414,120.8677686,32.20755634,3,113.1198347,16.10377817,3,0.066249386,0.030424128,6.894845361,0.285699102,3,6.86185567,0.228559282,3,0.004796172,0.000942154,,,,,,,,,,,,,,,,,
23,4,"Mikha et al., 2023","National University of Lesotho Campus Farm, Lesotho, African.",27.5,-30.21,16,653.2,6.8,19.4,1.94,10,52,23.4,24.6,48,,IF-NF,NPK-CK,MP100N,N,,,,,,,,,,100,,,moldboard plow,,6,,field,,0-5,7.18,0.718,3,6.25,0.625,3,0.138717919,0.006666667,0.93,,3.474,0.3474,3,1.726,0.1726,3,0.699500075,0.006666667,1.748,,,,,,,,,,0.483844011,0.048384401,3,0.27616,0.027616,3,0.560782156,0.006666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,0.062,3,0.6,0.06,3,0.032789823,0.006666667,11.58064516,1.158064516,3,10.41666667,1.041666667,3,0.105928096,0.006666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,4,"Mikha et al., 2023","National University of Lesotho Campus Farm, Lesotho, African.",27.5,-30.21,16,653.2,6.8,15.2,1.25,12.16,53.2,23.1,23.7,46.8,,IF-NF,NPK-CK,MP100N,N,,,,,,,,,,100,,,moldboard plow,,6,,field,,5月10日,8.55,0.855,3,7.25,0.725,3,0.164929814,0.006666667,1.3,,5.979,0.5979,3,3.702,0.3702,3,0.479380116,0.006666667,2.277,,,,,,,,,,0.699298246,0.069929825,3,0.51062069,0.051062069,3,0.314450302,0.006666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,0.076,3,0.69,0.069,3,0.096626836,0.006666667,11.25,1.125,3,10.50724638,1.050724638,3,0.068302978,0.006666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,4,"Mikha et al., 2023","National University of Lesotho Campus Farm, Lesotho, African.",27.5,-30.21,16,653.2,6.8,15.2,1.25,12.16,53.2,23.1,23.7,46.8,,IF-NF,NPK-CK,MP100N,N,,,,,,,,,,100,,,moldboard plow,,6,,field,,10月15日,9.79,0.979,3,7.35,0.735,3,0.286661143,0.006666667,2.44,,7.278,0.7278,3,5.035,0.5035,3,0.368442573,0.006666667,2.243,,,,,,,,,,0.743411645,0.074341164,3,0.685034014,0.068503401,3,0.08178143,0.006666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,0.088,3,0.67,0.067,3,0.272644195,0.006666667,11.125,1.1125,3,10.97014925,1.097014925,3,0.014016948,0.006666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
